Label,Outcome,Estimate,Std.Err,P-value,N,BW,Donut,Method
Table 2: Full (rdrobust),total_downloads_52wk,0.04999405391158618,0.06558601518641693,0.4459006754794278,192932,26,Yes,rdrobust (Robust)
Table 3: Full (WLS HC1),total_downloads_52wk,0.08019672824066137,0.03421858663683069,0.0190955766679803,82793,26,Yes,WLS (HC1)
Table 3: Full (WLS Clustered),total_downloads_52wk,0.08019672824066137,0.18417990378532584,0.6632532042529333,82793,26,Yes,WLS (cluster)
Table 2: min10 (rdrobust),total_downloads_52wk,0.035037632487103565,0.06487441013689443,0.5891390877094791,192115,26,Yes,rdrobust (Robust)
Table 3: min10 (WLS HC1),total_downloads_52wk,0.10129556196538138,0.033840493917885246,0.002759566375689381,82491,26,Yes,WLS (HC1)
Table 3: min10 (WLS Clustered),total_downloads_52wk,0.10129556196538138,0.18688252429916502,0.587799213105589,82491,26,Yes,WLS (cluster)
Table 2: min100 (rdrobust),total_downloads_52wk,0.15913511213621945,0.05277971106567557,0.0025691050477556644,158460,26,Yes,rdrobust (Robust)
Table 3: min100 (WLS HC1),total_downloads_52wk,0.02426362528426404,0.02723066694094117,0.37290747881622643,72288,26,Yes,WLS (HC1)
Table 3: min100 (WLS Clustered),total_downloads_52wk,0.02426362528426404,0.14047722605910187,0.862869290763609,72288,26,Yes,WLS (cluster)
Table 4: Matched to GitHub,matched_to_github,-0.008495269307018903,0.006287253812276447,0.17663484051557488,192115,26,Yes,rdrobust (Robust)
Table 4: Log Imports (Cond),cum_imports_52wk,-0.22750274866158904,0.36411638035299543,0.532097221369177,5876,26,Yes,rdrobust (Robust)
