Label,Outcome,Estimate,Std.Err,P-value,Estimate_Conv,Std.Err_Conv,P-value_Conv,N,BW,Donut,Method
Broad: total_downloads_52wk,total_downloads_52wk,9.571509757373786,2.669794951647127,0.000336935591742033,1.9845257445826334,0.24590806981323252,7.018675527256221e-16,527361,13,Yes,rdrobust (Robust/Bias-Corrected)
Broad: cum_downloads_gpt4,cum_downloads_gpt4,10.12086247527716,2.8676308613654045,0.00041658755377334353,1.9650575186522161,0.2629072806866564,7.759427630655315e-14,527361,13,Yes,rdrobust (Robust/Bias-Corrected)
Broad: cum_downloads_gpt4turbo,cum_downloads_gpt4turbo,10.639229573618401,3.01685404437929,0.0004209363350743132,2.067741203013206,0.27663584031127997,7.74412731337704e-14,527361,13,Yes,rdrobust (Robust/Bias-Corrected)
Broad: cum_downloads_alltime,cum_downloads_alltime,11.90786531503241,3.425368401172873,0.0005082409560202088,2.2096898984034894,0.31369294796745545,1.8664096761452616e-12,527361,13,Yes,rdrobust (Robust/Bias-Corrected)
Broad: post_ai_downloads_alltime,post_ai_downloads_alltime,13.102871435452993,4.493667627724835,0.003547182928718701,1.9801640100575604,0.4135144255853612,1.6793099665980196e-06,527361,13,Yes,rdrobust (Robust/Bias-Corrected)
Successful (min500@26w): total_downloads_52wk,total_downloads_52wk,0.7500450504358511,1.8641445481951875,0.6874238995465065,0.10599940798322294,0.16312439868075412,0.515816770626782,407110,13,Yes,rdrobust (Robust/Bias-Corrected)
Successful (min500@26w): cum_downloads_gpt4,cum_downloads_gpt4,1.2362449710719368,2.0349575061085816,0.5435164411977063,0.09505313482626931,0.1760097833721358,0.5891662681050744,407110,13,Yes,rdrobust (Robust/Bias-Corrected)
Successful (min500@26w): cum_downloads_gpt4turbo,cum_downloads_gpt4turbo,1.3845569251424301,2.1527090568448424,0.5201140862532883,0.15228843614654863,0.18589507663188468,0.4126625279309386,407110,13,Yes,rdrobust (Robust/Bias-Corrected)
Successful (min500@26w): cum_downloads_alltime,cum_downloads_alltime,1.9283474145975177,2.512697553840588,0.4428192906173619,0.19752326781756224,0.21685363817702505,0.36236923387107434,407110,13,Yes,rdrobust (Robust/Bias-Corrected)
Successful (min500@26w): post_ai_downloads_alltime,post_ai_downloads_alltime,-0.19509964873493857,3.125393270184487,0.9502251577064224,-0.11964123778567881,0.27053672704699694,0.6583180159215987,407110,13,Yes,rdrobust (Robust/Bias-Corrected)
Superstar (min1000@26w): total_downloads_52wk,total_downloads_52wk,0.12903731189375023,1.9520745852691774,0.947296097480224,0.0008166416756871797,0.16978717731382748,0.9961623528776211,315083,13,Yes,rdrobust (Robust/Bias-Corrected)
Superstar (min1000@26w): cum_downloads_gpt4,cum_downloads_gpt4,0.7714148337412468,2.178414829469364,0.723250820651679,0.022712456812186588,0.18636504512642862,0.9030013428386932,315083,13,Yes,rdrobust (Robust/Bias-Corrected)
Superstar (min1000@26w): cum_downloads_gpt4turbo,cum_downloads_gpt4turbo,0.5519598866630844,2.3340079736151016,0.8130556769847271,0.11280327038441484,0.1997040383906735,0.5721742815111026,315083,13,Yes,rdrobust (Robust/Bias-Corrected)
Superstar (min1000@26w): cum_downloads_alltime,cum_downloads_alltime,0.4374800416360216,2.812948504526628,0.8764085043405785,0.18355473575109826,0.24122302919805136,0.44669665964169514,315083,13,Yes,rdrobust (Robust/Bias-Corrected)
Superstar (min1000@26w): post_ai_downloads_alltime,post_ai_downloads_alltime,-1.983665147085162,3.5255858509905402,0.573674344976568,-0.03573740319365726,0.30363782954215635,0.9063073744696236,315083,13,Yes,rdrobust (Robust/Bias-Corrected)
GitHub: cum_imports_52wk,cum_imports_52wk,11.553599013130746,10.778422206343178,0.28375627121317504,0.3279545305114864,0.896743065806526,0.7145759709363155,28243,13,Yes,rdrobust (Robust/Bias-Corrected)
GitHub: cum_imports_gpt4,cum_imports_gpt4,23.256027691745814,11.540754498745539,0.043891873036481906,0.7908518824287265,0.9367905778695839,0.39854973635741464,28243,13,Yes,rdrobust (Robust/Bias-Corrected)
GitHub: cum_imports_gpt4turbo,cum_imports_gpt4turbo,22.80540023773428,11.097910133056319,0.03988601208318762,1.345819221541296,0.894004658368438,0.13222569265739492,28243,13,Yes,rdrobust (Robust/Bias-Corrected)
GitHub: cum_imports_alltime,cum_imports_alltime,27.863137233490725,9.987135912968288,0.005272388728864553,1.4559078673832007,0.8034503725011846,0.06997546749213059,28243,13,Yes,rdrobust (Robust/Bias-Corrected)
GitHub: post_ai_imports_alltime,post_ai_imports_alltime,26.766956974876713,10.932055604441759,0.01434590294542056,1.1578530848408217,0.8731812693481967,0.18483411289092078,28243,13,Yes,rdrobust (Robust/Bias-Corrected)
GitHub: AI Score intensity,avg_ai_score_52wk,-0.14013006546733686,5.064202822606529,0.977924788288062,0.18298614222632237,0.47755789142934235,0.7015932777938185,8566,13,Yes,rdrobust (Robust/Bias-Corrected)
