Tier,Outcome,Type,Excess_Jump,Std_Err,P_value,N,Adjusted
Broad,cum_imports_52wk,GitHub,1.1944,1.9313,0.5363,6582,False
Broad,post_ai_imports_alltime,GitHub,1.8872,1.1574,0.103,6582,False
Broad,post_ai_imports_alltime,GitHub,1.5663,1.0469,0.1346,6582,True
Broad,cum_imports_alltime,GitHub,2.1361,1.1334,0.0595,6582,False
Broad,cum_imports_alltime,GitHub,1.4206,1.5025,0.3444,6582,True
Broad,total_downloads_52wk,PyPI,0.0652,1.1446,0.9546,6582,False
Broad,post_ai_downloads_alltime,PyPI,-2.2442,3.9012,0.5651,6582,False
Broad,post_ai_downloads_alltime,PyPI,-2.3378,2.5901,0.3667,6582,True
Successful,cum_imports_52wk,GitHub,0.9181,1.9751,0.642,6202,False
Successful,post_ai_imports_alltime,GitHub,1.8429,1.2061,0.1265,6202,False
Successful,post_ai_imports_alltime,GitHub,1.6036,1.0718,0.1346,6202,True
Successful,cum_imports_alltime,GitHub,2.0318,1.1361,0.0737,6202,False
Successful,cum_imports_alltime,GitHub,1.4868,1.4807,0.3153,6202,True
Successful,total_downloads_52wk,PyPI,-0.6993,1.0267,0.4958,6202,False
Successful,post_ai_downloads_alltime,PyPI,-3.3564,3.8712,0.3859,6202,False
Successful,post_ai_downloads_alltime,PyPI,-2.3539,2.6492,0.3743,6202,True
Superstar,cum_imports_52wk,GitHub,1.0987,1.9644,0.5759,5686,False
Superstar,post_ai_imports_alltime,GitHub,1.8797,1.2398,0.1295,5686,False
Superstar,post_ai_imports_alltime,GitHub,1.5907,1.1005,0.1484,5686,True
Superstar,cum_imports_alltime,GitHub,2.5125,1.313,0.0557,5686,False
Superstar,cum_imports_alltime,GitHub,1.8629,1.5358,0.2251,5686,True
Superstar,total_downloads_52wk,PyPI,0.3699,0.8203,0.652,5686,False
Superstar,post_ai_downloads_alltime,PyPI,0.1638,2.3325,0.944,5686,False
Superstar,post_ai_downloads_alltime,PyPI,-0.3531,1.7332,0.8386,5686,True
