Label,Outcome,Estimate,Std.Err,P-value,N,BW,Donut,Method
Placebo_2018,total_downloads_52wk,0.1281059110851648,0.09895962787704486,0.19548344618756752,44485,26,No,WLS (cluster)
Placebo_2018 (Donut),total_downloads_52wk,0.5970985042396356,0.3447974847105214,0.0833204293984079,37059,26,Yes,WLS (cluster)
Placebo_2019,total_downloads_52wk,0.04105739350621858,0.08307574684467421,0.6211533844517434,57805,26,No,WLS (cluster)
Placebo_2019 (Donut),total_downloads_52wk,0.11283520228469804,0.1885637080293671,0.5495777377139686,48414,26,Yes,WLS (cluster)
Placebo_2020,total_downloads_52wk,0.73524098924814,0.3315645914818548,0.026589662033521873,100407,26,No,WLS (cluster)
Placebo_2020 (Donut),total_downloads_52wk,1.9501141455733821,0.47966766416480944,4.7918773480948654e-05,87720,26,Yes,WLS (cluster)
Main_2021,total_downloads_52wk,0.026479926340501857,0.11557231746590023,0.8187756695696349,90683,26,No,WLS (cluster)
Main_2021 (Donut),total_downloads_52wk,0.5591354375324854,0.351609076378659,0.11178544681756941,76864,26,Yes,WLS (cluster)
Adoption_2023,total_downloads_52wk,-0.9222215904506658,0.4890721050483523,0.05934136957280107,115869,26,No,WLS (cluster)
Adoption_2023 (Donut),total_downloads_52wk,-1.2713081537007511,0.6439138536191464,0.048342517399154745,99019,26,Yes,WLS (cluster)
